Reviewer Name,Review Date,Review Content
o***o (141),Past 6 months,Great seller. Fast delivery. Perfect packaging. Highly recommended. Thank you very much. Vintage WOOL FABRIC Woven Brown Herringbone 141” x 61” (#358083681813)
r***i (1894),Past 6 months,Very nice items. As described. Well packed. Quick shipping. Pleasurable transaction. Thank you! 2 Napco Ceramic Turkey Mugs Textured Fall Thanksgiving READ (#357716056016)
r***n (97),Past 6 months,Fast shipping. Blanket is as described. Great communication. Thank you! Vintage Pink Striped Wool Camp Blanket Retro Granny Cottagecore 72” x 55” READ (#357905985907)
5***5 (222),Past 6 months,Thank you!! Packaging was excellent and shipping was really fast!! Items were exactly as described!! 2 Emeraude Cologne by COTY .375 FL OZ w/ white Cap 1 Green Cap VTG (#357654991168)
0***_ (208),Past year,"This order arrived quickly and was securely packaged. Adorable vintage/new Madame Alexander 8 inch doll in full Scottish regalia arrived in nice vintage condition. This collectible doll came complete with box, tag, and other literature, even the stand, as well as the full outfit. Very good deal on this great collectible doll set! Very positive experience! I can recommend this seller. Madame Alexander International Collection Scotland Doll #529 with stand and box (#356806034018)"
y***0 (5),Past 6 months,The case was perfectly described and the shipping was very fast. The seller was friendly and great with communication. Vintage Royal Traveller Aurora Train Case Barbie Pink Travel Luggage (#357482509276)
8***5 (37),Past 6 months,Seller insured that I knew when my package will arrive. It came well packed and in a timely manner. Would gladly do business again. 9 Christmas Dachshund Dog Ornaments Christmas Tree Wiener Dog Org Boxes (#357736831300)
0***- (6),Past 6 months,Beautiful tree topper as described. Packaged very well. Will look beautiful in my collection. Would buy from this seller again. VINTAGE BRADFORD BLUE ATOMIC STARBURST CHRISTMAS TREE TOPPER (#357980700927)
5***s (247),Past 6 months,"As described, very cute plate set . Good condition and packaging. Fragile items arrived safely. Quick shipper. Happy with purchase. Thank you! 4.Brandon House plates by Warren Kimble mfg Sakura (Indonesia) Country Life 8” (#357707076494)"
r***e (27),Past year,"These are THE nicest people you’re ever going to deal with! Honest, caring and humble. My item arrived in perfect condition as sold. Packaged VERY well. They also included a beautiful card thanking me for helping support their business. Very appreciative and thoughtful. GREAT EXPERIENCE💕 Antique Jadeite Uranium Glass COFFEE CANISTER JAR w/ Lid - Glows under UV light (#357375565792)"
h***a (321),Past 6 months,"Arrived as described and well packed FURBY ""OWL"" BROWN EYES 1998 70-800 NIB (#357617972578)"
e***r (130),Past 6 months,A pleasure to work with. Everything was as described and was shipped promptly. Vintage Led Zeppelin T-Shirt Mens S/M Black 90S Rock Music Concert Band Tee (#358007287729)
n***u (140),Past month,Excellent! As described and carefully packaged. Thank you! Antique Satin Drapes Curtain Panels Pale Rose Blue Trim 83” x 48” READ Pr Vtg (#358192789130)
2***2 (35),Past month,my jersey was shipped super fast and arrived quick (in time for the super bowl) in great condition. i recommend this seller! Nike NFL Players ROB GRONKOWSKI 87 NEW ENGLAND PATRIOTS Sz 40 Football Jersey Vg (#358180355280)
k***r (643),Past year,"Fast shipping, securely packaged, as described. Thanks! 1940s HASKO MYSTIC BOARD Ouija Vtg Talking Spirit Haskelite Board Tray Only Read (#357482451307)"
l***n (114),Past 6 months,"Razer Kishi arrived safely and as described, it came with the original box so there wasn't really any risk of damage from mis-packing, its working, would buy from again Razer Kishi Mobile Game Controller / Gamepad for Xbox Android USB-C (#187537830108)"
3***a (204),Past month,"Products exactly as described, original and very well packed. Because someone missed putting my phone on the parcel label the delivery was more complicated. Still Spirits Top Shelf Vodka Essence Flavours 2.25L (#187558218753)"
3***a (204),Past month,"Products exactly as described, original and very well packed. Because someone missed putting my phone on the parcel label the delivery was more complicated. Still Spirits Top Shelf Spiced Rum 50ml Essence Flavours 2.25L (#187628334987)"
p***p (259),Past 6 months,"Item exactly as described, quick to ship. Fair price. I would buy from seller again in a heartbeat. Many thanks. Family Classics Checkers -- With Folding Board and Interlocking Checkers (#187400274815)"
s***i (735),Past 6 months,"Great value, great for buffing my nails, super fast delivery, well packaged. Will order again from this seller. A+ Super Nail Supernail Buffing Cream - 0.5 Oz (#187262288990)"
f***d (297),Past 6 months,Item came fairly fast and as described. I would recommend this seller. Hasbro Gaming Elefun & Friends Hungry Hungry Hippos Grab & Go Game (#177254141320)
s***p (26),Past 6 months,"Great value and item was in excellent condition. Will make a great parts controller. Came in original packaging. Shipping was as expected. Would definitely buy from this seller again. Kishi Controller (Controller, For Parts/Repair) (#187455664007)"
t***o (345),Past 6 months,"Good packing, Very quick shipping. Good seller. Family Classics Checkers -- With Folding Board and Interlocking Checkers (#187400274815)"
1***5 (3),Past year,"El producto llegó en excelentes condiciones superando mis expectativas, excelente calidad de sonido y construcción. Por otra parte, muy bien empacado y cabe destacar su excelente precio. El embalaje fue impecable con muy buena presentación. Llegó en su caja original y todos sus componentes en perfecto estado. Excelente experiencia con este vendedor, recomendado. Belkin True Wireless Earbuds Freedom Soundform Pro* Black (#186425824232)"
g***b (398),Past 6 months,"Fantastic seller on eBay! Great product, low price and super fast shipping. Thanks Torriden DIVE-IN Watery Moisture Sunscreen for Sensitive Skin (#187628300607)"
l***w (160),Past month,"Fast shipping and as described! A+ Lenovo 4X91D96900 HDMI to HDMI Cable, Black, 6.6 Ft. (#188026280543)"
0***n (55),Past 6 months,"Item was shipped fast and exactly as described! SKIN1004 Tea-Trica Relief Ampoule 3.38 fl. oz, 100ml, for Sensitive Skin (#177080763416)"
i***o (42),Past month,Excellent service! Came quickly! Monster HDMI Cable 4k Ultra HD with Ethernet (#187242273419)
